student_id,certificates_issued,minutes_watched
6,1,148.12
182,7,14132.07
801,13,78858.00
841,3,4870.90
862,1,1145.65
911,2,1834.83
969,1,642.40
999,2,1004.27
1046,1,2305.95
1200,2,658.80
1221,1,227.30
1521,3,2330.75
1540,2,1351.20
1567,1,1286.92
1619,6,8944.40
1652,2,2710.63
1754,9,4645.65
1852,1,806.20
2003,3,3086.35
2022,1,115.37
2073,2,935.07
2091,1,2655.62
2731,2,1017.00
2737,1,680.57
2811,2,6385.90
2938,1,1444.78
3183,5,737.75
3239,6,14013.50
3338,1,1004.58
3423,1,1082.13
3577,2,659.80
3774,2,3596.13
3780,1,266.68
4595,1,869.15
4640,1,586.80
4723,2,1401.10
4739,4,13093.93
5080,2,3784.63
5827,6,5719.40
5836,3,5709.35
6053,3,2958.40
6159,2,506.30
6278,2,4362.63
7086,1,1399.13
7382,1,1019.08
7540,1,518.17
8544,1,418.45
8641,1,109.55
9372,1,316.70
9754,1,702.77
10422,6,5231.90
11353,2,2191.80
12279,1,200.98
12532,1,481.90
14700,35,57996.75
15743,1,87.13
15772,4,4440.73
16668,1,535.67
16979,3,1607.05
17419,2,1405.27
17613,1,223.83
19124,2,3737.70
20710,8,17776.40
21229,1,138.12
21615,1,0.00
29758,3,2078.50
30206,1,483.10
30872,1,1001.97
34121,1,450.67
39563,5,2996.08
41336,2,2926.47
44965,1,319.33
47183,3,2686.45
53781,3,0.15
59568,1,176.57
74498,1,163.85
85568,18,0.00
89102,2,0.20
115019,2,1276.30
122992,2,0.00
142814,1,162.32
143561,10,23093.33
143701,1,1023.33
143709,3,4386.65
144348,1,863.88
144397,13,16150.77
145013,1,697.02
145177,1,918.17
145310,1,41.42
145561,1,197.20
146149,3,2814.75
146855,4,1493.60
147087,1,1221.50
147132,1,357.92
147672,6,7285.80
147687,1,3761.35
147878,7,20566.47
147956,13,29756.78
148089,1,7.30
148372,3,675.60
148628,1,402.03
148886,1,2067.28
149042,1,489.53
149195,2,4598.43
149323,1,172.97
149601,2,252.53
149652,5,5884.33
149787,1,163.82
150090,2,2998.53
150745,2,2573.70
150949,8,41992.40
151694,1,3491.48
152109,1,1411.30
152896,1,687.78
153103,1,1209.37
153235,1,423.28
153741,1,917.05
153765,3,3064.90
154092,4,6255.20
154291,1,371.37
155427,1,1523.08
155640,2,1596.90
156057,1,967.88
156183,1,812.98
156206,4,12349.07
156276,2,1195.37
156407,9,15378.30
156409,1,709.43
156467,6,9343.90
156498,1,1126.25
156510,1,234.02
156587,2,706.77
156647,2,4710.40
156649,6,14059.70
156767,1,164.83
156776,3,4675.05
157198,7,17043.72
157277,2,3768.43
157285,1,277.12
157698,2,1556.73
157976,2,885.47
158034,1,363.25
158129,1,119.02
158724,5,7157.83
159060,1,176.52
159186,2,2843.10
159336,2,1002.47
159370,11,71112.98
159457,1,917.82
159548,3,1709.60
159873,10,13472.33
160595,2,1350.10
160960,4,4464.07
161060,4,1286.80
161173,1,319.90
161210,5,4027.25
161380,9,25920.75
161496,1,688.05
161537,1,91.05
161693,1,358.42
161844,1,703.60
162497,6,7604.30
165026,3,1303.60
165285,8,12666.80
165374,1,246.98
166145,1,533.25
166734,1,370.38
169624,21,0.00
169966,1,469.45
170493,8,8631.73
170879,7,8840.07
171313,3,4349.10
171339,1,535.28
171439,1,29.77
171585,1,49.57
171738,4,3089.07
171827,1,284.02
171900,6,20689.30
172127,3,2203.70
172218,1,154.38
172289,1,388.40
172535,3,1812.80
172619,3,3514.05
172792,1,429.65
172793,3,2628.50
173105,3,1026.30
175038,4,3915.13
176012,1,222.83
176090,6,16679.90
176391,1,405.53
176531,5,3281.17
179118,1,118.13
179127,1,299.17
179203,3,6767.75
180668,1,127.53
181083,1,225.72
181620,1,1199.13
181800,1,362.12
182808,1,365.07
182880,1,492.43
183819,1,229.77
183978,9,18093.90
184826,2,1025.97
185208,1,1019.33
185848,3,2982.95
185851,6,16712.50
187237,1,0.00
187880,1,155.50
188507,1,225.77
190394,1,89.30
190610,1,312.83
190625,1,1031.02
190803,5,4892.58
190825,2,1262.20
192420,3,1353.40
193509,1,31.03
194507,6,7896.30
195307,1,324.32
195508,12,33885.20
196681,1,543.08
196809,5,3826.83
197505,10,7194.33
198179,2,1140.60
199192,1,572.92
200231,1,906.87
204116,1,714.25
204419,4,3256.47
205950,1,902.73
207559,1,66.25
208948,7,0.00
208957,1,180.35
209256,2,1211.47
212463,4,13737.67
213109,3,845.85
213528,1,174.33
215160,2,777.97
216394,3,6258.00
216478,2,583.97
217155,5,5785.75
217558,1,0.00
217601,2,699.57
219488,5,6995.83
219561,2,1205.77
225394,1,341.80
225789,2,885.13
225955,1,363.37
226169,2,1605.50
227678,2,1545.80
227874,2,791.73
228262,2,891.20
